year,species,F1_best_run_f,F1_best_run_g,corr_run_f,corr_run_g,r2_run_f,r2_run_g,dcorr,dr2,dF1_best
2010,Archosargus probatocephalus_A,0.7977168949771689,0.7676615035889687,0.5045110257085968,0.6389908431938907,0.21872053018789306,0.2868950086980072,0.1344798174852938,0.06817447851011416,-0.030055391388200237
2010,Archosargus probatocephalus_R,0.47425897035881437,0.4078408425980105,0.8800884086536144,0.7464666699387065,0.7442616019861849,0.5546308687903724,-0.1336217387149079,-0.18963073319581247,-0.06641812776080386
2010,Callinectes sapidus_R,0.8025198052877732,0.786117136659436,0.6753757036415882,0.7056288665958794,0.4370625692286111,0.4702494752198215,0.030253162954291257,0.033186905991210436,-0.01640266862833717
2010,Centropomus undecimalis_A,0.8099268397647397,0.7720556591593746,0.5833269815526604,0.5155724319156627,0.3291353636825288,0.2541656685932814,-0.06775454963699767,-0.07496969508924745,-0.037871180605365096
2010,Centropomus undecimalis_SA,0.4817315329626688,0.44458478054941586,0.4952083829077826,0.4816041429702406,0.21821471053134978,0.03651687392245939,-0.013604239937541951,-0.18169783660889038,-0.03714675241325294
2010,Cynoscion nebulosus_A,0.6586899209085378,0.6777841671458693,0.44352691640698233,0.48575563154846857,0.16437977015368166,0.22969206209083792,0.04222871514148624,0.06531229193715626,0.01909424623733147
2010,Cynoscion nebulosus_R,0.7600209314495029,0.767089975682248,0.6948227030653518,0.6174488921050736,0.424874552031837,0.36376457196981093,-0.07737381096027818,-0.06110998006202606,0.007069044232745125
2010,Lutjanus griseus_R,0.545646437994723,0.5444936924650529,0.4213721347674893,0.6219927452834644,0.16913866540351374,0.36228640957246105,0.20062061051597507,0.1931477441689473,-0.0011527455296701516
2010,Lutjanus griseus_SA,0.7177002583979328,0.6524704708035268,0.7127879780605164,0.6271047772073606,0.40530579036906,0.21070133752627063,-0.08568320085315584,-0.19460445284278938,-0.06522978759440601
2010,Mycteroperca microlepis_SA,0.5052589799563405,0.45421791526897753,0.6488230304047609,0.46465610430348414,0.408776169426585,0.21584758723871633,-0.18416692610127672,-0.19292858218786868,-0.05104106468736297
2010,Sciaenops ocellatus_R,0.580448717948718,0.39669421487603307,0.4958385776376809,0.6606829029713417,0.22293666182923566,0.21426924551901394,0.16484432533366078,-0.00866741631022172,-0.18375450307268493
2010,Sciaenops ocellatus_SA,0.7768406255491126,0.7814345991561181,0.46518157915705693,0.6693015714750474,0.19498260880418206,0.40716077007644835,0.2041199923179905,0.2121781612722663,0.00459397360700553
2011,Archosargus probatocephalus_A,0.742882721575649,0.7465449804432855,0.6930382385725827,0.5453672007477177,0.4484162278411845,0.09885278107278206,-0.14767103782486501,-0.34956344676840245,0.003662258867636492
2011,Archosargus probatocephalus_R,0.4879419339733084,0.4592057761732852,0.4665391495019641,0.23159860425936954,-0.11476750279337278,-3.6859107953737213,-0.23494054524259458,-3.5711432925803486,-0.0287361578000232
2011,Callinectes sapidus_R,0.8057504706486394,0.8056872037914692,0.7076113854095776,0.5479489777901396,0.47626610900028954,0.2844277206663688,-0.15966240761943795,-0.19183838833392075,-6.326685717017444e-05
2011,Centropomus undecimalis_A,0.76737852945392,0.7596388132435145,0.6145590958501614,0.6202621687357829,0.36154932939265405,0.3401808435083895,0.005703072885621441,-0.021368485884264543,-0.0077397162104055894
2011,Centropomus undecimalis_SA,0.49026439844230374,0.4626429788269652,0.5934139307484024,0.7710284797207687,0.11047632054137657,0.15659188023690518,0.17761454897236628,0.04611555969552861,-0.02762141961533854
2011,Cynoscion nebulosus_A,0.6651323360184119,0.6722706096819931,0.5244223633370556,0.5079275739019913,0.2560717623773464,0.23563761382026516,-0.016494789435064328,-0.020434148557081255,0.007138273663581218
2011,Cynoscion nebulosus_R,0.7728,0.7618666666666667,0.6535890428889937,0.6539602100583314,0.41886231732832957,0.36323229825951864,0.0003711671693377161,-0.05563001906881093,-0.01093333333333335
2011,Lutjanus griseus_R,0.5894392140810479,0.5569060773480663,0.6240133651877311,0.5463943040546706,0.38614842570513463,-0.002779491005131751,-0.0776190611330605,-0.3889279167102664,-0.03253313673298164
2011,Lutjanus griseus_SA,0.5403899721448467,0.6172718351324828,0.7144107466028511,0.5482317922963944,0.505659615001486,0.05945415590907133,-0.16617895430645668,-0.4462054590924147,0.07688186298763611
2011,Mycteroperca microlepis_SA,0.3758150563129816,0.33216448836467966,0.8085979146824994,0.7774346680729575,0.6514679123147566,0.2978109884278869,-0.03116324660954195,-0.35365692388686976,-0.043650567948301966
2011,Sciaenops ocellatus_R,0.6003179650238474,0.47193062528525787,0.7360137372098388,0.5082404626377564,0.4534067891214063,0.23075850297402412,-0.2277732745720824,-0.2226482861473822,-0.1283873397385895
2011,Sciaenops ocellatus_SA,0.746669051238487,0.753829518832222,0.6218343461821765,0.7369169350428602,0.3552348808883061,0.5228447497631423,0.11508258886068368,0.1676098688748362,0.007160467593735009
2012,Archosargus probatocephalus_A,0.7579435915744377,0.7782379518072289,0.6938468131010149,0.6300039623787408,0.436267379052382,0.3934783752920439,-0.06384285072227414,-0.04278900376033812,0.020294360232791187
2012,Archosargus probatocephalus_R,0.5136681500317863,0.46211289259828686,0.517291711932502,0.2102453294003429,0.21302279384864664,-0.010331931686956342,-0.3070463825321591,-0.22335472553560298,-0.05155525743349948
2012,Callinectes sapidus_R,0.8109208071900966,0.815861130020422,0.7851140503514304,0.6974284627537961,0.5782420185668008,0.3914347042066101,-0.08768558759763434,-0.1868073143601907,0.0049403228303254165
2012,Centropomus undecimalis_A,0.7843412375473551,0.7537533323979234,0.6098954942383772,0.5707593108168574,0.35726261774800383,0.31783303285809017,-0.03913618342151981,-0.03942958488991366,-0.03058790514943166
2012,Centropomus undecimalis_SA,0.5070231082917989,0.4703067217750707,0.6756909640038274,0.6233197773905823,0.2976523111580801,0.33037675808057543,-0.052371186613245135,0.03272444692249532,-0.03671638651672815
2012,Cynoscion nebulosus_A,0.6713483146067416,0.7078651685393258,0.7136872130869583,0.3394888586300275,0.46205184864365445,0.10726634143051372,-0.3741983544569308,-0.3547855072131407,0.03651685393258419
2012,Cynoscion nebulosus_R,0.8203363914373089,0.7698013245033113,0.7524242350460807,0.5668490821944967,0.5643327577753041,0.30716714288559865,-0.185575152851584,-0.25716561488970546,-0.05053506693399756
2012,Lutjanus griseus_R,0.6067677946324388,0.4996243425995492,0.6100021495689103,0.517690011550138,0.34245412548383836,0.18645077856193637,-0.09231213801877225,-0.156003346921902,-0.10714345203288961
2012,Lutjanus griseus_SA,0.6033010813887308,0.6155433287482807,0.6596833007223933,0.46261918554914333,0.4226408379869657,0.126296933579213,-0.19706411517325,-0.2963439044077527,0.012242247359549818
2012,Mycteroperca microlepis_SA,0.548491879350348,0.4314066852367688,0.7404613362081149,0.31940640855599317,0.5246629691389371,-0.28864991746566737,-0.42105492765212177,-0.8133128866046044,-0.11708519411357926
2012,Sciaenops ocellatus_R,0.6798140131473465,0.33539967373572593,0.7991582424290249,0.7226474638410456,0.6377080350235507,0.49824833405468016,-0.07651077858797928,-0.1394597009688705,-0.34441433941162053
2012,Sciaenops ocellatus_SA,0.7671257062146892,0.7945314047949277,0.6139804499016576,0.8215436227103944,0.3739255821743849,0.6439461781215687,0.20756317280873682,0.27002059594718386,0.027405698580238447
2013,Archosargus probatocephalus_A,0.8001730852444829,0.8062384351044145,0.6271412229896491,0.4502441305388549,0.3801002135833864,-0.07653857911245265,-0.1768970924507942,-0.45663879269583907,0.006065349859931568
2013,Archosargus probatocephalus_R,0.5411764705882353,0.480008835873647,0.6864663237955612,0.44577103365377424,0.4005383923451712,0.180150765006433,-0.24069529014178692,-0.22038762733873818,-0.06116763471458825
2013,Callinectes sapidus_R,0.8044574157601486,0.8196186222298574,0.7390389323753246,0.6355274788102421,0.5228084623252437,0.39748871737277225,-0.10351145356508251,-0.12531974495247145,0.015161206469708755
2013,Centropomus undecimalis_A,0.8219434063000534,0.7968499733048585,0.7379844268198604,0.6904286689827583,0.394142086462305,0.4628630659624955,-0.047555757837102086,0.06872097950019052,-0.025093432995194842
2013,Centropomus undecimalis_SA,0.6143402630462452,0.49216953236228234,0.6355262527268931,0.41220695930362405,0.33905839936010407,0.10824909968241148,-0.22331929342326906,-0.2308092996776926,-0.12217073068396289
2013,Cynoscion nebulosus_A,0.7052616965153409,0.6981818181818182,0.598273151411698,0.6035383751735727,0.3500155043050732,0.3502629075564955,0.00526522376187466,0.0002474032514222513,-0.007079878333522638
2013,Cynoscion nebulosus_R,0.7829865683434291,0.8167515563101302,0.7497970562191312,0.5805206748728842,0.5556770899679302,0.261928531717731,-0.169276381346247,-0.2937485582501992,0.03376498796670113
2013,Lutjanus griseus_R,0.6062807092501602,0.5568499534016775,0.8085482976624452,0.5564315584831288,0.6417810790534197,0.28678122449630705,-0.25211673917931643,-0.3549998545571127,-0.049430755848482666
2013,Lutjanus griseus_SA,0.7709947319491788,0.6481694303070104,0.6893784240282144,0.5288525214967563,0.32777730068975486,0.27414520403918585,-0.16052590253145804,-0.053632096650569006,-0.12282530164216843
2013,Mycteroperca microlepis_SA,0.6354733405875952,0.47449114459423736,0.4048291476966097,0.311113817260057,0.1478287444372245,-0.2365662391652288,-0.09371533043655272,-0.3843949836024533,-0.16098219599335784
2013,Sciaenops ocellatus_R,0.7527445518597411,0.5015588992815507,0.6775115074411596,0.741141180931515,0.37541668123427185,0.3526589357871802,0.06362967349035542,-0.022757745447091637,-0.25118565257819037
2013,Sciaenops ocellatus_SA,0.8023829787234042,0.8045819798256112,0.6582903957292726,0.5481282402155351,0.4119386721845477,0.1189652907293326,-0.11016215551373754,-0.2929733814552151,0.0021990011022069433
2014,Archosargus probatocephalus_A,0.8138844097428499,0.84722473332128,0.7317703850866454,0.6132725303114941,0.4912625129351912,0.3607209548050341,-0.11849785477515129,-0.1305415581301571,0.03334032357843009
2014,Archosargus probatocephalus_R,0.5745318352059925,0.5271028037383177,0.7664536764442513,0.6669090452806055,0.49832385882148234,0.35790174786484064,-0.09954463116364587,-0.1404221109566417,-0.04742903146767474
2014,Callinectes sapidus_R,0.7334720295885344,0.832399899690713,0.6996152942906746,0.6828628934037901,0.4857646352099979,0.4298676511138714,-0.016752400886884455,-0.055896984096126534,0.09892787010217863
2014,Centropomus undecimalis_A,0.8414745343233033,0.8091702487951022,0.7622307482029608,0.6295828630190812,0.4932569821179972,0.391570114641258,-0.1326478851838796,-0.10168686747673916,-0.03230428552820108
2014,Centropomus undecimalis_SA,0.6290025146689019,0.5114544485881726,0.69128386098114,0.7693159439926847,0.31823050735107083,0.2315555227193281,0.07803208301154463,-0.08667498463174272,-0.11754806608072932
2014,Cynoscion nebulosus_A,0.7083731730637891,0.70621629293216,0.58759698484173,0.324626020148108,0.3413108312920987,-0.08683553733090466,-0.26297096469362197,-0.42814636862300337,-0.0021568801316290687
2014,Cynoscion nebulosus_R,0.7996857816182247,0.800811176205498,0.8014649579438561,0.7246203834341579,0.6262935751735241,0.5098456081374391,-0.07684457450969817,-0.11644796703608506,0.0011253945872733429
2014,Lutjanus griseus_R,0.6616785946649317,0.5827940616673011,0.866585508770974,0.6709505694443191,0.6345941680825451,0.3916167142349525,-0.19563493932665488,-0.24297745384759262,-0.07888453299763065
2014,Lutjanus griseus_SA,0.7636309167165968,0.7083795342943133,0.8556696042296205,0.6282376933785141,0.6539370384588316,0.3009233276798736,-0.22743191085110637,-0.35301371077895793,-0.055251382422283446
2014,Mycteroperca microlepis_SA,0.6334128002934165,0.4910985098246077,0.8802554536069278,0.7598136814478484,0.6195974606188219,0.39129194588695515,-0.12044177215907936,-0.22830551473186678,-0.14231429046880884
2014,Sciaenops ocellatus_R,0.6949586155003762,0.5117924528301887,0.7362507439250217,0.8577997611261637,0.45559991201922034,0.5879186503950604,0.12154901720114208,0.13231873837584007,-0.18316616267018748
2014,Sciaenops ocellatus_SA,0.8189851047715223,0.8246300391222997,0.6383881513795342,0.495637014931223,0.3958606197664629,0.14677076590433913,-0.14275113644831122,-0.2490898538621238,0.0056449343507773975
2015,Archosargus probatocephalus_A,0.8136882129277566,0.8194995685936152,0.7630606812248577,0.6892628025769618,0.5365552517896166,0.46920993922109366,-0.07379787864789589,-0.06734531256852294,0.005811355665858553
2015,Archosargus probatocephalus_R,0.5549385164617215,0.520314253647587,0.8498745285977787,0.6643143323250479,0.2395262103048127,0.3051392125783011,-0.1855601962727308,0.06561300227348843,-0.034624262814134554
2015,Callinectes sapidus_R,0.759313886157544,0.8554207053840515,0.7890311129812664,0.7227748749779013,0.6012888709963699,0.5182791082014617,-0.06625623800336511,-0.08300976279490813,0.09610681922650743
2015,Centropomus undecimalis_A,0.8621264588944466,0.8216258879242304,0.764353986675345,0.5784815440004396,0.5295159758700456,0.2971592266663623,-0.18587244267490544,-0.23235674920368332,-0.0405005709702162
2015,Centropomus undecimalis_SA,0.6510359869138496,0.5208516628541263,0.7300560715893447,0.656927764416384,0.49798668896866316,0.4034105482696918,-0.0731283071729607,-0.09457614069897136,-0.13018432405972324
2015,Cynoscion nebulosus_A,0.7102384291725106,0.6770016069571794,0.6600226922691839,0.6686577989449776,0.4349899307077747,0.44298760098679324,0.008635106675793702,0.007997670279018543,-0.033236822215331197
2015,Cynoscion nebulosus_R,0.7960369881109643,0.780449141347424,0.7512583836736076,0.5497480084059448,0.5581310500134657,0.22915513056717784,-0.2015103752676628,-0.3289759194462879,-0.015587846763540303
2015,Lutjanus griseus_R,0.6519300560871,0.5372872433760308,0.7325109866050032,0.4281125865876413,0.3326733015150115,0.1536672707675414,-0.30439840001736196,-0.17900603074747012,-0.11464281271106913
