bay,n,rmse,mae,bias,r2,corr
AP,2980800,0.21968674144172168,0.05842012713272157,-0.007396496099756698,0.758677823005937,0.8728853946266988
CH,3928320,0.24497792699494977,0.07782810707605232,-0.01378857031586962,0.705698790198851,0.8430207517656403
TB,4220640,0.3019812697136799,0.0763635018996927,-0.013536333553108492,0.691022808953085,0.8349334509513118
CK,1663200,0.2619783485306663,0.06475599615655739,-0.009910039371475974,0.6732388644138778,0.8253168916260814
