test_year,n,rmse,mae,bias,r2,corr
2010,843840,0.35620947547014586,0.09077703274578598,-0.01614670775185867,0.513623638004756,0.7260766256800251
2011,843840,0.31186482723037584,0.0775191739275278,-0.01606403756170968,0.6001109331539298,0.7804563186221335
2012,845280,0.29860957316607206,0.07656877045869181,-0.009142987741216654,0.615347479138336,0.7884670233302691
2013,845280,0.27439196807120175,0.07042747970485602,-0.016454599028858118,0.6528150589173896,0.8144486960840107
2014,845280,0.2582596003397878,0.06890305739950602,-0.022714878112720386,0.6690296935292549,0.8339389478320581
2015,845280,0.2336590546658805,0.06637271986019888,-0.009347159438074012,0.72333721355875,0.85303755310026
2016,858240,0.2315029056355403,0.06565768324758071,-0.010542214483333468,0.7337797934197773,0.8592828294970983
2017,858240,0.22740478810976586,0.06474164986241861,-0.006739603269200365,0.7539529033473367,0.8685275151190474
2018,858240,0.23624591516425802,0.06869542576885453,-0.007987108369487942,0.7413142591326833,0.8618337141388916
2019,858240,0.22654027167129012,0.06567658048075396,-0.010796521882829677,0.7740656137551067,0.8825425739464771
2020,858240,0.2402874408397198,0.06926175638944349,-0.0037041067018765642,0.7639543305025427,0.8749888095469718
2021,858240,0.25011883560516623,0.07114961258576478,-0.009098500685438526,0.7581844158168943,0.8726123816021585
2022,858240,0.24543352762892018,0.06963080412345733,-0.012452789374386571,0.7738327183965632,0.8823090915122574
2023,858240,0.25664563071749963,0.07091940559229445,-0.014218847698339842,0.7552955208803442,0.8737449193542284
2024,858240,0.25124744544765737,0.07095178276992962,-0.010576682763803566,0.7624810268368775,0.8756176644684184
ALL,12792960,0.262074050573527,0.07112329343730617,-0.011711735239352128,0.7066902522967187,0.8437850959855585
