n,prevalence,true_mean,pred_mean,bias,pearson_corr,spearman_corr,r2,rmse,mae,f1_at_0.5,precision_at_0.5,recall_at_0.5,f1_best,f1_best_thr,roc_auc,pr_auc,year,species,run
7032,0.5991183162684869,0.04948584579447769,0.022134579097473513,-0.02735126669700418,0.6389908431938907,0.6924863330051366,0.2868950086980072,0.2986986966658994,0.038686076859683,0.03406439570695287,1.0,0.01732732019938286,0.7676615035889687,0.0,0.8058561622006986,0.877241087012891,2010,Archosargus probatocephalus_A,G
7032,0.30474971558589303,0.0028921286991533393,0.0025553240373641364,-0.0003368046617892029,0.7464666699387065,0.3425031590863457,0.5546308687903724,0.02151799201632859,0.001850363860004062,0.0009328358208955224,1.0,0.0004666355576294914,0.4078408425980105,0.0,0.6139798629910661,0.47937770664368706,2010,Archosargus probatocephalus_R,G
7032,0.6467576791808873,0.09103970066566872,0.08373031147539602,-0.0073093891902727,0.7056288665958794,0.6386335116878344,0.4702494752198215,0.39545092749303956,0.07854044938100992,0.11166459111664591,0.9962962962962963,0.05914687774846086,0.786117136659436,0.0,0.7512741174121236,0.8631081821679976,2010,Callinectes sapidus_R,G
7032,0.491325369738339,0.03329108922256303,0.02836318038576281,-0.0049279088368002245,0.5155724319156627,0.7365965631507321,0.2541656685932814,0.21644615568983328,0.03085669902268835,0.04857384919514261,1.0,0.024891461649782922,0.7720556591593746,6.529796110044117e-06,0.8590402098630622,0.8722066083598677,2010,Centropomus undecimalis_A,G
7032,0.2935153583617747,0.0012966487820911061,0.00010855453998455264,-0.0011880942421065536,0.4816041429702406,0.1427143711022823,0.03651687392245939,0.034354245751353714,0.0012588719484084427,0.0,0.0,0.0,0.44458478054941586,0.0,0.5739827921956334,0.38386768004850413,2010,Centropomus undecimalis_SA,G
7032,0.511518771331058,0.0118892038864051,0.007454545914566866,-0.004434657971838234,0.48575563154846857,0.5460983739201253,0.22969206209083792,0.10656948626136133,0.010005077517340501,0.00995850622406639,1.0,0.0050041701417848205,0.6777841671458693,0.0,0.7323554441899061,0.7748638033432695,2010,Cynoscion nebulosus_A,G
7032,0.5526166097838453,0.0516858171180226,0.045273155590224046,-0.006412661527798555,0.6174488921050736,0.7473869033796865,0.36376457196981093,0.2275882705882984,0.045445317323867244,0.0781404549950544,1.0,0.040658775090066906,0.767089975682248,2.1566883333434816e-05,0.8433279161768377,0.8814527973478719,2010,Cynoscion nebulosus_R,G
7032,0.33418657565415244,0.003706486923494423,0.0023350921900948595,-0.0013713947333995635,0.6219927452834644,0.39321675297362546,0.36228640957246105,0.0308004195669671,0.003181193550589865,0.0,0.0,0.0,0.5444936924650529,1.9933742434474766e-09,0.7071720577676388,0.6207765348794475,2010,Lutjanus griseus_R,G
7032,0.38054607508532423,0.011554173548379065,0.01870508071591386,0.007150907167534793,0.6271047772073606,0.5739176504649774,0.21070133752627063,0.09309073032296898,0.015227768756423175,0.058759521218716,1.0,0.030269058295964126,0.6524704708035268,1.3322606425861832e-11,0.7695917679993302,0.7241595545242625,2010,Lutjanus griseus_SA,G
7032,0.2939419795221843,0.003311750783265904,0.003861941072696383,0.000550190289430479,0.46465610430348414,0.21169561546653567,0.21584758723871633,0.06496088382655237,0.00414408065669198,0.005788712011577424,1.0,0.002902757619738752,0.45421791526897753,0.0,0.6063867001277935,0.4710266386744485,2010,Mycteroperca microlepis_SA,G
7032,0.30930034129692835,0.008389496960047338,0.0018907209491872605,-0.006498776010860078,0.6606829029713417,0.13140160959897249,0.21426924551901394,0.11246775769562599,0.00754793810419992,0.0027548209366391185,1.0,0.001379310344827586,0.39669421487603307,0.0,0.5509830343218343,0.4303250515678374,2010,Sciaenops ocellatus_R,G
7032,0.6305460750853242,0.025660545301200894,0.014611745540574254,-0.01104879976062664,0.6693015714750474,0.6515471727857477,0.40716077007644835,0.12122394525027269,0.021234762979786298,0.016551107134869156,1.0,0.008344609833107803,0.7814345991561181,0.0,0.7716705852286361,0.8605615224689509,2010,Sciaenops ocellatus_SA,G
7032,0.5907281001137656,0.03695087016096515,0.0354391591583961,-0.001511711002569048,0.5453672007477177,0.7160936658508329,0.09885278107278206,0.19966399430003912,0.03467816730868299,0.06023815082885828,1.0,0.031054405392392875,0.7465449804432855,1.814181359804934e-05,0.8199121855806488,0.8778515767841452,2011,Archosargus probatocephalus_A,G
7032,0.28782707622298065,0.00042003543533105845,0.0011350721793503427,0.0007150367440192843,0.23159860425936954,0.2399243460485589,-3.6859107953737213,0.014099810848086484,0.0011879409111073974,0.0,0.0,0.0,0.4592057761732852,1.306653812926939e-10,0.6352872459400927,0.44928871180743446,2011,Archosargus probatocephalus_R,G
