year,species,F1_best_run_a,F1_best_run_g,corr_run_a,corr_run_g,r2_run_a,r2_run_g,dcorr,dr2,dF1_best
2010,Archosargus probatocephalus_A,0.7039296354092779,0.7676615035889687,0.7451960054523572,0.6389908431938907,0.49969812398636027,0.2868950086980072,-0.10620516225846655,-0.21280311528835305,0.06373186817969079
2010,Archosargus probatocephalus_R,0.30994989262705797,0.4078408425980105,0.9209423609553465,0.7464666699387065,0.7992975844082912,0.5546308687903724,-0.17447569101664007,-0.24466671561791886,0.09789094997095255
2010,Callinectes sapidus_R,0.7290776867136096,0.786117136659436,0.7834489609151689,0.7056288665958794,0.5754186476222408,0.4702494752198215,-0.07782009431928949,-0.1051691724024193,0.05703944994582644
2010,Centropomus undecimalis_A,0.7077865266841645,0.7720556591593746,0.5556596559145397,0.5155724319156627,0.2726526321297894,0.2541656685932814,-0.040087223998876986,-0.018486963536508028,0.06426913247521004
2010,Centropomus undecimalis_SA,0.13622559652928418,0.44458478054941586,0.6280567988102496,0.4816041429702406,0.39194686120280886,0.03651687392245939,-0.14645265584000894,-0.35542998728034947,0.3083591840201317
2010,Cynoscion nebulosus_A,0.0,0.6777841671458693,,0.48575563154846857,-0.12279375065114562,0.22969206209083792,,0.35248581274198354,0.6777841671458693
2010,Cynoscion nebulosus_R,0.7404103479036575,0.767089975682248,0.8021852300532366,0.6174488921050736,0.6398754945505878,0.36376457196981093,-0.18473633794816302,-0.27611092258077685,0.026679627778590564
2010,Lutjanus griseus_R,0.0,0.5444936924650529,,0.6219927452834644,-0.05164159329695717,0.36228640957246105,,0.4139280028694182,0.5444936924650529
2010,Lutjanus griseus_SA,0.5737808739708676,0.6524704708035268,0.7711073256928372,0.6271047772073606,0.48840888614116007,0.21070133752627063,-0.14400254848547667,-0.27770754861488944,0.07868959683265919
2010,Mycteroperca microlepis_SA,0.30352504638218925,0.45421791526897753,0.7656155986865929,0.46465610430348414,0.4440162607403876,0.21584758723871633,-0.30095949438310876,-0.22816867350167125,0.1506928688867883
2010,Sciaenops ocellatus_R,0.5486398258977149,0.39669421487603307,0.18023531941529014,0.6606829029713417,0.025551416076243005,0.21426924551901394,0.48044758355605155,0.18871782944277093,-0.1519456110216818
2010,Sciaenops ocellatus_SA,0.6468073369190457,0.7814345991561181,0.7539126925327391,0.6693015714750474,0.545746684493227,0.40716077007644835,-0.08461112105769164,-0.1385859144167787,0.13462726223707244
2011,Archosargus probatocephalus_A,0.7063323416914578,0.7465449804432855,0.7459666434963212,0.5453672007477177,0.5034197584447595,0.09885278107278206,-0.20059944274860353,-0.40456697737197744,0.04021263875182779
2011,Archosargus probatocephalus_R,0.27322805728975397,0.4592057761732852,0.5374993128526624,0.23159860425936954,-2.3606118622573082,-3.6859107953737213,-0.3059007085932929,-1.3252989331164131,0.1859777188835312
2011,Callinectes sapidus_R,0.7864552750048933,0.8056872037914692,0.7580677408324987,0.5479489777901396,0.5413163488416225,0.2844277206663688,-0.2101187630423591,-0.2568886281752537,0.01923192878657587
2011,Centropomus undecimalis_A,0.7037564029595902,0.7596388132435145,0.6999092775522637,0.6202621687357829,0.474140391733457,0.3401808435083895,-0.07964710881648085,-0.1339595482250675,0.055882410283924266
2011,Centropomus undecimalis_SA,0.0,0.4626429788269652,,0.7710284797207687,-0.02079399554749717,0.15659188023690518,,0.17738587578440235,0.4626429788269652
2011,Cynoscion nebulosus_A,0.6091635414968205,0.6722706096819931,0.6705509799926466,0.5079275739019913,0.4264697515780097,0.23563761382026516,-0.1626234060906553,-0.19083213775774455,0.06310706818517264
