year,species,common,group,rel_mse_increase,delta_mse_count,delta_rmse_count,baseline_mse_count,baseline_rmse_count
2010,Archosargus probatocephalus_A,Sheepshead (Adult),env,0.01141170430789277,0.0018438398838043213,0.04293995672802106,0.16157445311546326,0.40196324846366643
2010,Archosargus probatocephalus_R,Sheepshead (Recruit),env,0.006303366379288344,5.1328291495641075e-05,0.007164376560151,0.008142996579408646,0.0902385537307012
2010,Callinectes sapidus_R,Blue Crab (Recruit),env,-0.0011429764269014016,-0.00021545092264811197,0.0,0.18849988281726837,0.4341657319702562
2010,Centropomus undecimalis_A,Common Snook (Adult),env,0.012432606765127497,0.0012384628256162007,0.0351918005452435,0.09961409121751785,0.31561700083727723
2010,Centropomus undecimalis_SA,Common Snook (Sub-adult),env,0.0005768073540063385,3.3332034945487976e-06,0.0018257063001887236,0.0057787117548286915,0.07601783839881723
2010,Cynoscion nebulosus_A,Spotted Seatrout (Adult),env,0.007798971344468078,0.0003671695788701375,0.01916166952199462,0.04707923159003258,0.21697749097552166
2010,Cynoscion nebulosus_R,Spotted Seatrout (Recruit),env,0.006824850152866195,0.0008440737922986349,0.029052948082744286,0.12367653101682663,0.3516767422176602
2010,Lutjanus griseus_R,Gray Snapper (Recruit),env,0.00016136138333252065,2.89951761563619e-06,0.0017027969977763614,0.01796909235417843,0.13404884316613266
2010,Lutjanus griseus_SA,Gray Snapper (Sub-adult),env,-0.016915053269981436,-0.0006699686249097189,0.0,0.039607834070920944,0.19901717029171365
2010,Mycteroperca microlepis_SA,Gag Grouper (Sub-adult),env,-0.010127046557952296,-0.00011675556500752766,0.0,0.011529083363711834,0.10737356920449201
2010,Sciaenops ocellatus_R,Red Drum (Recruit),env,0.0069115368335748205,0.0002401098608970642,0.015495478724359057,0.03474044427275658,0.18638788660413685
2010,Sciaenops ocellatus_SA,Red Drum (Sub-adult),env,0.015313280185360267,0.0008941702544689178,0.02990267972053538,0.058391816914081573,0.24164398795352135
2010,Archosargus probatocephalus_A,Sheepshead (Adult),restoration,3.0065263737679947e-05,4.857778549194336e-06,0.0022040368756430406,0.16157445311546326,0.40196324846366643
2010,Archosargus probatocephalus_R,Sheepshead (Recruit),restoration,8.044092814986334e-06,6.550302108128865e-08,0.0002559355799440333,0.008142996579408646,0.0902385537307012
2010,Callinectes sapidus_R,Blue Crab (Recruit),restoration,0.0001382343769717067,2.605716387430827e-05,0.005104621815013162,0.18849988281726837,0.4341657319702562
2010,Centropomus undecimalis_A,Common Snook (Adult),restoration,-0.0006481187906781314,-6.456176439921062e-05,0.0,0.09961409121751785,0.31561700083727723
2010,Centropomus undecimalis_SA,Common Snook (Sub-adult),restoration,0.002477768202026389,1.4318308482567469e-05,0.003783954080398898,0.0057787117548286915,0.07601783839881723
2010,Cynoscion nebulosus_A,Spotted Seatrout (Adult),restoration,-0.0004651677420186382,-2.1899739901224773e-05,0.0,0.04707923159003258,0.21697749097552166
2010,Cynoscion nebulosus_R,Spotted Seatrout (Recruit),restoration,0.0010796455942402837,0.00013352682193120322,0.011555380648477281,0.12367653101682663,0.3516767422176602
2010,Lutjanus griseus_R,Gray Snapper (Recruit),restoration,0.0006641385758103597,1.1933967471122742e-05,0.003454557492808991,0.01796909235417843,0.13404884316613266
2010,Lutjanus griseus_SA,Gray Snapper (Sub-adult),restoration,-0.013573457894782705,-0.0005376152694225311,0.0,0.039607834070920944,0.19901717029171365
2010,Mycteroperca microlepis_SA,Gag Grouper (Sub-adult),restoration,-0.006628560397268561,-7.642122606436412e-05,0.0,0.011529083363711834,0.10737356920449201
2010,Sciaenops ocellatus_R,Red Drum (Recruit),restoration,2.5878676614371856e-05,8.99036725362142e-07,0.0009481754718205602,0.03474044427275658,0.18638788660413685
2010,Sciaenops ocellatus_SA,Red Drum (Sub-adult),restoration,0.005009282410592929,0.00029250110189119977,0.017102663590540503,0.058391816914081573,0.24164398795352135
2010,Archosargus probatocephalus_A,Sheepshead (Adult),habitat_structured,0.0016004065748298762,0.00025858481725056964,0.016080572665504472,0.16157445311546326,0.40196324846366643
2010,Archosargus probatocephalus_R,Sheepshead (Recruit),habitat_structured,0.00697110233025747,5.676566312710444e-05,0.007534299113195894,0.008142996579408646,0.0902385537307012
2010,Callinectes sapidus_R,Blue Crab (Recruit),habitat_structured,-0.0032133300293922516,-0.0006057123343149821,0.0,0.18849988281726837,0.4341657319702562
2010,Centropomus undecimalis_A,Common Snook (Adult),habitat_structured,0.0007368000700458077,7.339566946029663e-05,0.008567127258322748,0.09961409121751785,0.31561700083727723
2010,Centropomus undecimalis_SA,Common Snook (Sub-adult),habitat_structured,0.00014518225521115112,8.389664192994436e-07,0.0009159511009324917,0.0057787117548286915,0.07601783839881723
2010,Cynoscion nebulosus_A,Spotted Seatrout (Adult),habitat_structured,-0.00030327164310106045,-1.4277795950571695e-05,0.0,0.04707923159003258,0.21697749097552166
2010,Cynoscion nebulosus_R,Spotted Seatrout (Recruit),habitat_structured,0.002500343932320928,0.0003092338641484578,0.017585046606377188,0.12367653101682663,0.3516767422176602
2010,Lutjanus griseus_R,Gray Snapper (Recruit),habitat_structured,0.002545190761810879,4.573476811250051e-05,0.006762748561975412,0.01796909235417843,0.13404884316613266
2010,Lutjanus griseus_SA,Gray Snapper (Sub-adult),habitat_structured,-0.019003029161456412,-0.0007526688277721405,0.0,0.039607834070920944,0.19901717029171365
2010,Mycteroperca microlepis_SA,Gag Grouper (Sub-adult),habitat_structured,-0.002517221189333608,-2.902125318845113e-05,0.0,0.011529083363711834,0.10737356920449201
2010,Sciaenops ocellatus_R,Red Drum (Recruit),habitat_structured,0.004418712543847048,0.0001535080373287201,0.012389836049307516,0.03474044427275658,0.18638788660413685
2010,Sciaenops ocellatus_SA,Red Drum (Sub-adult),habitat_structured,0.008663236777849926,0.0005058621366818746,0.02249137916362344,0.058391816914081573,0.24164398795352135
2010,Archosargus probatocephalus_A,Sheepshead (Adult),habitat_open,0.0008722615473342857,0.00014093518257141113,0.011871612467201375,0.16157445311546326,0.40196324846366643
2010,Archosargus probatocephalus_R,Sheepshead (Recruit),habitat_open,0.0097399476997685,7.931236177682877e-05,0.008905748804947777,0.008142996579408646,0.0902385537307012
2010,Callinectes sapidus_R,Blue Crab (Recruit),habitat_open,-0.005964078189219443,-0.001124228040377299,0.0,0.18849988281726837,0.4341657319702562
2010,Centropomus undecimalis_A,Common Snook (Adult),habitat_open,0.0036934743131640164,0.0003679220875104268,0.019181295251114477,0.09961409121751785,0.31561700083727723
2010,Centropomus undecimalis_SA,Common Snook (Sub-adult),habitat_open,0.0006477196858763549,3.742985427379608e-06,0.0019346796704828445,0.0057787117548286915,0.07601783839881723
2010,Cynoscion nebulosus_A,Spotted Seatrout (Adult),habitat_open,0.000810430031824942,3.8154423236846924e-05,0.006176926682165406,0.04707923159003258,0.21697749097552166
2010,Cynoscion nebulosus_R,Spotted Seatrout (Recruit),habitat_open,0.015944998926739496,0.0019720221559206643,0.04440745608476874,0.12367653101682663,0.3516767422176602
2010,Lutjanus griseus_R,Gray Snapper (Recruit),habitat_open,0.0016175874005807183,2.9066577553749084e-05,0.005391342834002405,0.01796909235417843,0.13404884316613266
2010,Lutjanus griseus_SA,Gray Snapper (Sub-adult),habitat_open,0.03620287909502377,0.001433917631705602,0.03786710487620623,0.039607834070920944,0.19901717029171365
2010,Mycteroperca microlepis_SA,Gag Grouper (Sub-adult),habitat_open,0.005213289915567154,6.010445455710093e-05,0.007752706273108825,0.011529083363711834,0.10737356920449201
2010,Sciaenops ocellatus_R,Red Drum (Recruit),habitat_open,0.00307695320303173,0.00010689472158749898,0.010338990356292,0.03474044427275658,0.18638788660413685
2010,Sciaenops ocellatus_SA,Red Drum (Sub-adult),habitat_open,-8.478775040451183e-05,-4.950910806655884e-06,0.0,0.058391816914081573,0.24164398795352135
2010,Archosargus probatocephalus_A,Sheepshead (Adult),shoreline,0.01390521522025545,0.002246727546056112,0.04739965765758348,0.16157445311546326,0.40196324846366643
2010,Archosargus probatocephalus_R,Sheepshead (Recruit),shoreline,0.008074286755789506,6.574889024098714e-05,0.008108568939152403,0.008142996579408646,0.0902385537307012
2010,Callinectes sapidus_R,Blue Crab (Recruit),shoreline,0.00017169942820199034,3.236532211303711e-05,0.005689052830923361,0.18849988281726837,0.4341657319702562
2010,Centropomus undecimalis_A,Common Snook (Adult),shoreline,0.025177829375627864,0.0025080665946006775,0.050080600980825674,0.09961409121751785,0.31561700083727723
2010,Centropomus undecimalis_SA,Common Snook (Sub-adult),shoreline,-0.0011125446491379591,-6.429074952999751e-06,0.0,0.0057787117548286915,0.07601783839881723
2010,Cynoscion nebulosus_A,Spotted Seatrout (Adult),shoreline,-0.0004045292390190437,-1.9044925769170124e-05,0.0,0.04707923159003258,0.21697749097552166
