species,baseline_total_pop
Sheepshead (Adult),1322.3112
Sheepshead (Recruit),125.20564
Blue Crab (Recruit),1723.0789
Common Snook (Adult),2573.4585
Common Snook (Sub-adult),52.498035
Spotted Seatrout (Adult),531.6138
Spotted Seatrout (Recruit),1790.7356
Gray Snapper (Recruit),224.86317
Gray Snapper (Sub-adult),472.80875
Gag Grouper (Sub-adult),114.27192
Red Drum (Recruit),138.81407
Red Drum (Sub-adult),1374.1885
